Tweet of the development set,True class,Predicted class with word-based,Predicted class BPE
@user @user @user @user @user @user @user @user @user @user @user Dan nwoke ọma 😊,positive,positive,positive
Best wishes to a good man @user. Chukwu gozie gi Gozie ije gi n'ile Goziekwa aka oru gi Have an amazing year. Happy birthday mate!,positive,positive,positive
"Anyi n'cha bu ndi afia ! Ututu oma ndi nwem na ndi mu'nwe... Ka ogazie're anyi 💥 #marketmens #everythingmerchant cc chinosobishop @user Lagos, Nigeria [URL]",positive,positive,positive
#NP: Chukwu Agozi Go Gi Remix By @user ft @user @user on #PartySaturday with @user,positive,positive,positive
Chinecherem Odighi onye di ga ki Eze n’aram ekpere Oku n’erere Onye nzoputa He never fails 🙌🏻,positive,positive,negative
@user Lmaooo. Chinwe nwa mmadu,positive,negative,negative
Jehovah Idi Egwu Jehovah Idi Egwu Jehovah #praise #[NUM]dservice #rogicabuja,positive,positive,positive
Ada oma!!! Daalu 😊😊🙏🏽🙏🏽🙏🏽 [URL],positive,positive,positive
Otito diri Chineke n'elu kasi elu n'uwa Udo diri mmadu ndi ihe ha n'aso Chukwu.,positive,positive,positive
Chai.. Ogene ndi nso [URL],positive,positive,negative
It’s Mothering Sunday today. Ndi nne Mama! Esokwam!!!,positive,positive,positive
Aka aka ya Aka Jehovah na 'eme mma O lu ebube ya Nke na eruani na 'ebem no Isi iyi nke ndu Nke na dighi ata ta Aka aka ya #Worship,positive,positive,positive
"Ijeawale, ka muna chim si ga Safe journey @user Igbo Ndi Oma [URL]",positive,positive,positive
"Aru kwusi!! Si doziwe obodo ka obodo di mma! Ekene m nwoke kene nwayi! Ekene m olisa, kene ive na-emelu unu ive, Kene ive unu na-emelu ive, Kene Ichie ukwu Kene nta, Kene Onwa Kene Nnewi! Udo ✌🏾 [URL]",positive,positive,positive
@user haha. Nsogbu adiro. Hopefully next week ka anyi ruo,positive,positive,negative
"@user Ochiee, nsogbu adiro",positive,negative,negative
@user Nsogbu adiro . Chukwu ga agba gi ume,positive,positive,negative
@user Chukwudi gozierem Gi Ezigbo Nwa Afo Igbo. I ha adí.,positive,positive,positive
@user @user Ọbụrụ ná Nigeria ga ekwe nà ife ndị ịgbọ kwụrụ ọ dịrị ònye enu ma ònye ani mma...... Ha nye ndị ịgbọ president Nigeria kà ife dị mma... Okwute ndị ịgbọ ga adị mma @user,positive,positive,negative
@user Zion obodo ZION! Zion Obodo ZION!! kpọkuru m ya ZION! Kpọkuru m ugboro abụọ ZION ZION kpọkuru m Ya ugboro atọ ZION ZION ZION Obodo ọma ZION ZION ZION ZION 🕺💃🕺💃🕺🕺,positive,positive,positive
Nne ...nyem u aka gi . Ka i na ga obodo oyibo . Nwanyi ma ra mma [URL],positive,positive,positive
Ututu oma Asa m [URL],positive,positive,positive
@user Udaegbendinso! Let's clean and sanctify the air after knack. Ka chukwu mezie okwu. [URL],positive,positive,negative
"Meta onye dimma enyi, maka olulu",positive,positive,positive
Congrats Onye mpa🙌 [URL],positive,positive,positive
Ka anyị na-amuta☺️ Ndeewo nụ ụmụ Igbo. [URL],positive,positive,positive
@user Ihe nkea gwụrụ ike 😂,negative,negative,negative
@user Kelvin hapum na ike ochi adirom biko. These people na agbawa mmadu obi.,negative,negative,negative
Ara gba gbo kwa gi ebe ahu ino [URL],negative,negative,negative
@user Nna Ike gwuru oo... Mediocre mentality,negative,negative,negative
@user Lmao! Ndi a ruo nno ha na e kwugheri ka ndi isi mgbaka! 😂😂😂😂,negative,negative,negative
Ụwa a enweghị isi😭😭😭,negative,negative,negative
@user E nwero nsogbu😊,negative,positive,negative
@user @user @user @user @user Chineke kpoo gina ncha gi oku dia.. Ps mine was as a result of excess caffeinated stuffs in my bloodstream Caffeine anyi nuru mgbe anyi na agu akwukwo na mahadum chekwanu na anyi guchaa ozugbo daputa anyi enweta oru ozugbo butebee ego oyibo..,negative,negative,negative
@user Ụzọ emebi sị go,negative,negative,positive
"@user @user @user Onweghi much. O bu otu ochi @user chiri jiri too gi, gi were chia, mere o ji too m pieces, m were chia nke m. The ochi di infectious.",negative,positive,negative
Nwunye onye highway...... agụ adịghị eri agụ na🤣🤣🤣 [URL],negative,negative,negative
"Lmao, in igbo we ask """"""""""""""""i ga a buru ogbenye buru amusu?"""""""""""""""" 😂😂😂😂 [URL]",negative,negative,negative
Nwa bu Onye oshi [URL],negative,negative,negative
Haha... nsogbu di kwa [URL],negative,negative,negative
@user @user @user @user No mind am.. Ochiee with ajọ ọnụ 🤣,negative,negative,negative
@user @user What about we ndi Obio-Akpor 😂😂😂😂,negative,negative,negative
@user 🤣 Ọnụ ya bụ nsi. With that her nnewi accent,negative,negative,negative
@user Ndị mmadụ na-agba ala na this app...,negative,negative,negative
@user Nna mehn! Ike gwuru oo😭😩 ndo oh ?,negative,negative,negative
"@user @user @user @user @user @user @user @user @user @user @user Ocho okwu, hapu m aka.",negative,negative,negative
"@user @user @user @user Dee godu ife’a ka ifele me ekwensu, Ada di Ora mma. 😍",negative,positive,positive
@user @user @user @user @user @user @user @user @user @user Ndị mpia ka sị [URL],negative,negative,negative
@user @user ibu onye nzuzu. Get a life,negative,negative,negative
@user @user @user Never make promises you cannot keep. @user ga aju gi utali. Kwadokwa je sekpulu ani na Aso Villa. ODIBO.,negative,positive,negative
@user 😂😂😂😂😂ekwensu racha gi Ike got me there,negative,negative,negative
@user @user @user Ibu onye iberibe,negative,negative,negative
"@user Oohh, egwu dikwa🤯.",negative,negative,negative
Bia ndi ara @user oya o [URL],negative,negative,negative
@user @user Ọ di egwu 😂,negative,negative,negative
@user @user I-na atupuru ndi mmadu onu,negative,negative,negative
"@user @user @user @user @user @user @user Nkita Ra chi gi ike, nonsense otele okukor",negative,negative,negative
Venita!! Mechie onu gi!!!!,negative,negative,positive
@user He must send ọ.. Ka m je sute atikpa m ga eji megherie ya anya😂,negative,positive,negative
"@user lol okwa no queue, I can imagine myself, taa nya gbaa kwa oku",negative,negative,negative
@user Nke gị na apụ iche 🙄🙄🙄,negative,negative,negative
"@user It's entering the case of ìhè ọjọọ gba afọ, ọ bụrụ omenala",negative,negative,negative
“Slut shame” Oyibo twitter BBN. Ndi ara,negative,negative,negative
@user @user 😂 😂 😂 😂 😂 😂 😂 😂 😂 Onye ọnụ ọjọọ,negative,negative,negative
@user E ji m gi 🤷🏾‍♂️,negative,positive,negative
@user @user Ahhhh sunshine is lucky oo😩😩😩😩 Chineke ruo ole mgbe🙏🏽🙏🏽🙏🏽,negative,negative,positive
Tufiakwa!!! Ike obodo a agwula m.,negative,negative,negative
@user ị bụghị ndị na-ege m ntị 😏,negative,positive,negative
Normalise gbakwa gi oku ebe a. [URL],negative,negative,negative
Onye nkwu eri 🙄 [URL],negative,negative,negative
@user @user Hapu the nwa Assumption ka ndi mmadu ji e miss ngozi ha 🤣,negative,negative,negative
@user @user @user @user Okwa ndi oso chi egbu 🥺,negative,negative,negative
@user @user @user Don't mind the wicked somebody.... Ndị afọ ọjọọ,negative,negative,negative
@user Hey! Hahaha Unu ya egbukwa mmadu,negative,negative,negative
@user @user Isi adirọ gị mma eziokwu m,negative,positive,positive
@user @user Meeeeeen! Ike gwuru.,negative,negative,negative
@user @user @user @user @user Isi adighi the girl nma,negative,positive,negative
Ada rapukene phone zuon'ike. Isi owuwa 😭,negative,negative,negative
@user @user @user @user @user Ọ gwụrụ mụ ike mehn!,negative,negative,negative
Open marriage go soon pave way... Onye Ike gwuru o ji nwayo puo. Tuo down lukwa onye ozo,negative,negative,negative
Unu abụọ rie nsị [URL],negative,negative,negative
Ndi egbuwara isi [URL],negative,negative,negative
"@user @user No mind that one, eze ụmụ agbọghọ",negative,negative,negative
@user Lawyer wey no Sabi hìn work nkọ o. Na SUEGBE OOO🎶🎶,negative,negative,negative
"@user @user @user @user Nwanne, I nwe onu ajo. Jiri nwayo, biko",negative,negative,negative
@user Nnah ehh🤣🤣 ndi Chineese a biakwa ozo,negative,negative,negative
Na now day break. Ndi ara... [URL],negative,negative,negative
Lord Lugard Onye ala!!! #EndSARS #EndSarsNow,negative,negative,negative
@user Oji boobs eme ogo😁,negative,negative,negative
@user @user Biko hapum aka... Anom lent ndi uka anyi..,negative,negative,negative
@user 😂😂😂 Mana i me ihe dị njọ m nye gị red flag 🚩,negative,negative,negative
@user Ike va gwụrụ mmadụ.,negative,negative,negative
Kamharida - Harida😍😍😍 Chaii afa nke a sogbuem [URL],negative,positive,positive
Obere oge chineke ga akpo ya oku [URL],negative,negative,negative
"@user @user @user @user @user @user @user @user @user @user @user 🤣 O kwa onye kwuo eziokwu, akpogbuo ya n'obe✝️",negative,negative,negative
@user @user Ike Gwuru o. Ukwa na dakwaranụ ndị amaghị api. For real,negative,negative,negative
@user hey stranger🙋 Amu na ekene gi oooo,negative,positive,positive
[NUM] emeela anyi ihe ọjọọ,negative,negative,negative
@user @user @user O gabuziri onwe ya na church?!😫,negative,negative,negative
"Owu saa gi, i mara ihe. [URL]",negative,positive,positive
"@user Hapu onye aghugho, agwo!",negative,negative,negative
@user Tueh nke gị..... 🤣 🤣,negative,negative,negative
@user @user @user 🤣 🤣 🤣 Biko rapum... Kedu mgbe o?,negative,negative,negative
@user @user Ọ di ka o nwe k'o si eme gị na arụ 😁😁😁,negative,positive,negative
"Inserts grandmom concerns, bia onye ka ina akpo crackhead. Kwusi kwa okwu iberiberism gi kita🙄 [URL]",negative,negative,negative
Otu Nne unu nile mshewwww [URL],negative,positive,positive
@user Lmaoooo Onye ala 😂,negative,negative,negative
@user @user @user Eze ga agwu gi na onu.,negative,positive,negative
@user @user Chukwu po gi oku ne fa Jesu,negative,positive,positive
Energy ndi mmuo [URL],negative,negative,negative
@user Onwebedii ihe ifuu 😂,negative,negative,negative
Egwu nke a ririm ọnụ biko😂😂😂 ike gwụrụ 😢 [URL],negative,negative,negative
@user @user @user “Non consultation”? O di egwu.,negative,negative,negative
@user 😂😂i bu onye ala!! Literally!!😂😂,negative,negative,negative
@user @user @user Ịdị ọnụ ka vayolence,negative,negative,negative
@user 😂😂Ndi na azi Papi adighi anu ife sha,negative,negative,negative
@user @user @user @user @user @user @user Chukwu napụta ekwensu ike. Aburo m onye ntụ. A bụ m lezibianu,negative,negative,negative
@user @user @user @user @user I don’t support rape or iti mmadu alika akwu by fire by force.. Kama udi ahu onye obu jiri nwayo jee choro ulo akwuna di ya nso jee hupu the thing one time..,negative,negative,negative
@user 😂😂😂 Isi adiro gi mma okwa ya,negative,negative,negative
@user @user @user @user @user @user @user Ndị mmadụ chọrọ ịmujuru Chineke ụwa ya.,negative,negative,negative
"#Igbo #IgboTwitterCommunity #IgboTwitterHangout Nne iwe na-ewe gị o! Ọ kwọ aka nwada ka ị kpọlụ ogede gbalụ ọkụ? Mana ọgwụ gị a, e nwekwalu akara ndị NAFDAC? #Ọgwọnnụọrịa 😁 [URL]",negative,negative,negative
@user Ekpa. Nzuzu. Onye Uya.,negative,negative,negative
Nkita rawachakwa gi anya 😡😡😡😡 [URL],negative,negative,negative
Ndi Enugu Nsogbu dizi already [URL],negative,negative,negative
Lol love n'anya gbuo gị ebe ahụ [URL],negative,negative,negative
@user Nne iwe di gi n'obi na ututu a.,negative,positive,negative
@user @user @user 🤣🤣🤣 onye oshi azuru azu,negative,negative,negative
@user @user Mechie nu ōnu! (translated in Igbo) 😆,negative,negative,positive
@user Love gbakwa oku!!!,negative,negative,negative
Lol onye ara ndi uwa [URL],negative,negative,negative
@user @user @user @user @user Nke a kariziri🤨,negative,negative,negative
@user Harrison ihe nke a obu eko ole hahahah 😂😂😂,negative,negative,negative
@user nwannem sorry o.. Jack bu ndi ara,negative,negative,negative
@user @user @user Ada so ina acho okwu?,negative,negative,negative
Lmao Onye nsogbu [URL],negative,negative,negative
@user Ndi ala juru ebea 😂😂,negative,negative,negative
Ihe nke a odighi egwu?? [URL],negative,positive,negative
@user Nke gi di ajo bad🤣,negative,negative,negative
Ndị ọnu ọjọ 😁😁 [URL],negative,negative,negative
@user chike idi ka onye ga na acho okwu,negative,positive,negative
@user Kitikpa gbagbuo gi there🙄😏,negative,negative,negative
@user Mechie ọnụ biko. I na akogheri,negative,negative,negative
"Awka b’anyi ogini na-eme?? Akwa alili egbugom,onye gburu nwanne ya abughi Odogwu. Kedu mgbe anyi ga-akwusi igbu onwe anyi make otu nzuzo? @user @user @user @user umunnem,biko neenu na ndi Awka ibem anwuchago. Awka teeta n’ura, na mmiri na-eri anyi😭 [URL]",negative,positive,negative
@user 😂😂😂😂🤣🤣🤣🤣🤣 Odibero late ooh.. Inwelu ike iweputa di Amu na express ozugbo,negative,negative,negative
Igbo kwe piwa gi Onu there [URL],negative,negative,negative
@user @user @user @user @user @user @user @user @user @user Biali Biali Biali..... So ụmụ áká gụrụ gị census 😂😂😂 Ịdị sure na iji onwe gị àka?,negative,negative,negative
I nwaa ya anwaa m gbajie gi ukwu! Lol [URL],negative,negative,negative
"Bia onye okpo ntu Shey you call Sega fraud, well read this. Nkita ala [URL] [URL]",negative,negative,negative
@user Odikwa egwu oo,negative,negative,negative
@user @user Ina eduhie onye amuma uzo Mara kwa na iga eketo oke na njo ogbugbu ya😎,negative,negative,negative
"@user @user @user 😆onye oshi🏃, nke gi na apu iche! Smh ☹️",negative,negative,negative
Nke a wu nno mmonwu ngba dike lool,negative,negative,negative
@user Nezịe nụ ịmị dịka apịlapị😂😂😂,negative,negative,negative
@user Ahụ adịghị gị 😂😂😂😂,negative,negative,negative
"No leave, No gini? Thunder gbuo ghi!!! #bbnaija",negative,negative,negative
Chuba onyea oso ka onye ori phone,negative,negative,negative
@user Ihe nkea di egwu.,negative,negative,negative
Omo na Person go dey date that [NUM] babe...Gosh I hate messy people..Chukwu ekwela ihe ojooo,negative,negative,negative
[NUM]m -- Ego orji? Chineke mgbe ole? [URL],negative,positive,positive
@user @user Nke gi ka njo olekwalu gi ebea,negative,negative,negative
@user @user Sugar man u haff killed arsenal fans Sugar igbugokwa mmadu dis night,negative,negative,negative
@user @user @user 🙄🙄🙄 Ọ chọọ okwu,negative,negative,negative
Nsogbu abatago !!😂😂 Dorathy with the 🥵 #BBNaija,negative,positive,negative
@user 😂😂😂💔😭😭 Odi egwu oo,negative,negative,negative
@user O gosiri na ubiam n'aku aka nụ ụzọ gị. Bịkọ mepelu ya ụzọ!,negative,positive,positive
Ndịa egbue mmadụ 🙆‍♂️🙆‍♂️ So ha ma ụma enye madu stress? [URL],negative,negative,negative
@user @user Ike gwu. 😂😂 nwata achoro biko. Ndi ala erika ebea,negative,negative,negative
@user Amen o! Ike gwuru nne,negative,negative,negative
Ka[NUM]na ga aragbu kwa Ọzọ ma the boy nye ya chance 😂,negative,positive,negative
@user @user God when gbuo gị n'ebe ahụ,negative,negative,negative
"I read """"""""""""""""kitikpa gba gbuo gi na empathy"""""""""""""""" in my father's voice😂🤣 [URL]",negative,negative,negative
@user @user Ogbenye onu ojoor,negative,negative,negative
@user The man bu ezigbote onye mgbu.,negative,negative,negative
@user ọ maka ndị Yoruba. ha na-achọ ịkpata nsogbu,negative,negative,negative
@user @user Amadioha pia gi onu,negative,negative,negative
@user @user @user Manna gbuo gi dia. 🙄,negative,negative,negative
@user Chiwetalu Ahụ needri ịbịa mụọ ọrụ n'aka gị. Ọnụ gị ajoka!,negative,positive,negative
Jesus kpo g’okwu dia [URL],negative,positive,positive
"Dear Uzoamaka, Rie nsị... Riwaa nsị onu. Riwapu ndị ọnụ... Signed, @user [URL]",negative,negative,negative
Let me jejely deactivate my account ... odi egwu,negative,negative,negative
@user Ahhhh! Chineke mgbe oleeeee????😭😭😭,negative,positive,negative
"Onye ara, o n wa y'ara. This geh is mad😂😂😂😂😂😂😂 [URL]",negative,negative,negative
"@user Nna ehhh, ike gwurum. Obulu na SE kita, ndi uchu ekwube nonsense",negative,negative,negative
@user Ahhhh Uchenna onu gi adiro mma at all,negative,negative,negative
@user Mana umuazi abakpa ewelugo Amu gi mee Biology asainmenti.,negative,negative,negative
K'am ju kwa o... Kedu ebe unu si afu ndi nzuzu? 🤔 [URL],negative,negative,negative
Ndị ala Ndị ala Ndị ala Ndị ala! Lekwa fa Lekwa fa Lekwa fa Lekwa fa! [URL],negative,negative,negative
@user @user Leemau o gbala gi thrice nwanne,negative,positive,negative
@user @user @user @user @user @user @user @user @user @user @user Singu pringus obi akpo. I tagged ypu to see nkwobi. Onye nsogbu,negative,negative,negative
NP// Onye Ara - @user ON #DanceParty W/ @user #DjEnigmaMixUp,negative,positive,positive
@user keduzi ka isi ekwu ka onye ihe mere na onu? Ujo ndi na aga ije agwo ona atu gi? 🤣🤣🤣🤣🤣 Biko kwusie okwu ike 😁 #IsiKoteEbu [URL],negative,negative,negative
@user money gbuo gi dia 😒,negative,negative,negative
@user Nnakwaa nke gi 😏,negative,negative,negative
"@user Dede were ya nwayọọ, obi gị jụrụ",negative,positive,negative
Haha e welu accent su chie mmadu nti [URL],negative,negative,negative
@user Iwe dị ọkụ enweghị ike isi nri jikere. #OneBigNigeria,negative,negative,negative
@user @user @user @user @user @user @user Adika imaghi ihe ina ekwu??? [URL],negative,negative,negative
Ara gbakwa gi there Sell fire [URL],negative,negative,negative
See ehn. Ike Ndi mmadu agwugom. 🤦🏼‍♀️🙄,negative,negative,negative
"@user @user @user Person wey no get sense. Nwanne laugh ur laf jaree, hapu onye nzuzu",negative,negative,negative
@user @user Just respecti ya onwe gi now! 🙄🙄🙄,negative,negative,negative
NP Ara ga agba ndi ara - @user ft @user // #DreamLounge with @user &amp; @user #ThrowbackThursday 📻📻,negative,positive,positive
@user the guy ekwubee ihe na egbu ya! Nudes darris flying upandan? 😁,negative,negative,negative
@user Ma ọ bu i gbawa shi mkpụrụ amụ ndị nzụzụ,negative,negative,negative
Bia taa abacha St. Peter’s agulu or nke amaike Na Afor Agulu🤤🤤 [URL],negative,positive,positive
"Ndi ojoo,umuaka isi mebiri [URL]",negative,negative,negative
Agbara gi ogwu anwu na nti 😒 [URL],negative,negative,negative
@user Izuu mmaa gi ula eh 😂😂,negative,negative,negative
Kedụ ihe mmadụ ji isi kote 😑,negative,negative,negative
@user As in eehhh... Ike gwuru this children...,negative,negative,negative
@user Standing solidly with you dearie. Ekwensu nalụ Chineke ike biko,negative,negative,negative
@user @user @user I na tupuruya Onu...😂,negative,negative,negative
@user @user O sinọọ Volkswagen 🤣🤣🤣🤣🤣 Iwe jikwa gị 🤣,negative,negative,negative
"@user @user @user Ezi bida, anu mpanu, eze umunwaanyi....Buru onwe gi zuzupu ebe a",negative,negative,negative
@user @user 😂 😂 😂 😂 😂 I gbuo ya ka onye country[NUM],negative,negative,negative
@user Nna ife uwa nke a egbugom,negative,negative,negative
Nigeria obodo ndi ala [URL],negative,negative,negative
@user Gerrout 😂😂😂 Unu na a like ịchọ okwu.,negative,negative,negative
@user @user @user @user @user @user @user @user @user @user Egwu ọ na-atụ gị?🤣🤣🤣🤣,negative,negative,negative
@user @user Nne biko no vex. The Ebuka bukwa confusion to me Biko.,negative,negative,negative
@user @user Achikota ekwe onu. Arne banza.,negative,negative,negative
@user @user Nkita racha kwa ya anya ebe ovona ono.,negative,negative,negative
Ike anaghị agwụ unu na this app😑 [URL],negative,negative,negative
@user 🤣🤣😅😅😅😅 ihe nkea o bu rice...,negative,negative,negative
@user @user Unu na a like i kparị mmadụ 😭,negative,negative,negative
No be small nzuzu 😂 [URL],negative,negative,negative
@user @user @user Ala gbarie gi isi,negative,negative,negative
Lmaoooo Iwu onye ara😂 [URL],negative,negative,negative
lol Okwu Nkasi obi [URL],negative,negative,positive
@user Ndi mmadu asigbuo onwe ha,negative,negative,negative
@user E n'eye ezigbo Nsogbu 😥,negative,negative,negative
@user @user @user Onye nsogbu ke ife ịmụ anya eme,negative,negative,negative
@user Cho wa gi onu there,negative,negative,negative
@user 😂😂😂... Rubbish aburokwa obere rubbish o. Ndi ara. [URL],negative,negative,negative
@user Isi adiro gi nma😑😑😑,negative,negative,negative
@user Person wey I Dey hear the igbo at least [NUM]%. Gbachipu Ndi ara nkiti.,negative,negative,negative
@user Ke nwa onye ara di ihe ahu?,negative,negative,negative
Odikwa egwu my brother😂😂😂 [URL],negative,negative,negative
Chineke nna buo gị ọṅụ [URL],negative,positive,positive
"@user @user Bia nweta gị there 🙄, daya kowai ni ka so, ni kadai",negative,negative,negative
@user @user Meru gịnị zi.... Nnem hapụ ọbara Jesu ka ozua ike biko,negative,positive,negative
Ara di n’udi n’udi mana o nwere ndi ara nke ha na a gba ha ara!,negative,negative,negative
@user @user Onu gi di egwu.,negative,negative,negative
Chineke Nna eh!!! Olee mgbe Aliko g'abu my Brother????😭😭😭☹☹☹ [URL] [URL],negative,negative,negative
Taaaaaaaaah! mechie onu gi. [URL],negative,negative,negative
"@user @user Mba o, nke ah bu ewu awusa",negative,negative,negative
Me chie onu gi. [URL],negative,negative,negative
@user O ge me gi voom na anya,negative,negative,negative
@user @user @user @user 😄😄 Umu nwoke ndi a sef,negative,negative,negative
@user Eeye! Okwa i madi na business m gbalu oku ?,negative,negative,negative
Enugu tomorrow morning inshaa Allah. mmadụ ga-agwụ ike,negative,negative,positive
@user Nna ike gwu kwaa,negative,negative,negative
@user @user @user @user @user @user @user Wetin persin no know pass am abeg. Hapu ya ka ona ekwugheri first. Blasphemy,negative,negative,negative
@user @user O di egwu oooo!,negative,positive,negative
@user Hapụ ndị mgbu,negative,negative,negative
"A na abu onions. Chai, onye mere anyi ihe a?",negative,positive,negative
@user Ike gwụrụ eziokwu,negative,negative,negative
@user @user @user @user @user Onye nyetu Gị enye gwara 🚶‍♂️🚶‍♂️🚶‍♂️,negative,negative,negative
@user Chiwa gi onu there,negative,negative,negative
@user @user Bịa mechie m ọnụ naww [URL],negative,negative,negative
@user @user @user Ọnụ ọjọọ ya erika... Don't mind him!,negative,negative,negative
@user Ndi ara juru ebe Nile Na Ezuzu😞😞,negative,negative,negative
"We apologize wahala, we no apologize nsogbu... Na wa [URL]",negative,negative,negative
"@user Tah, kwụchie ọnụ! Anụ!",negative,positive,positive
@user @user @user ndi ofe nmanu ga eri Anu gi,negative,negative,negative
Ara gi no oru men. Kpuchie ya [URL],negative,negative,negative
Onye nzuzu.. Okpo [URL],negative,negative,negative
@user 😂😂😂 afo gha sa ghi.,negative,negative,negative
Onye nka osikwa ebee riputa? Gbarie door biko [URL],negative,negative,negative
"@user @user @user @user @user Ewu hausa, aturu fulani. E ga tagide afufu nu uwa. Just negodu gi. Ka isi ezuzu",negative,negative,negative
@user Nne m ooh. Nsogbu dị.,negative,positive,negative
@user @user nne hapu ndi uchu,negative,negative,negative
@user @user @user @user @user @user Pastor Yemi Osinbajo is actually THIEF. Barawo Onye Oshi Oleeeeeee [URL],negative,negative,negative
"Ike guru nwanne ,😒 Ihe nke o rice 🙄 [URL]",negative,negative,negative
@user Adịghị asị ndo 😂😂🤣,negative,negative,negative
"I don’t understand?? Ihe a ikwuru ugbùa , owü ihė anyi si gi kwu o? END SARS Abeg ! Osi no o “ I met with the IGP tonight “ Mtcheew 😡 #EndSARS #EndSarsNow [URL]",negative,negative,negative
@user @user Nwanyi ofe mmanu a dika onwelu something onyelu gii ijiri just gbaa umu ada igbo boot nke ikpeazua,negative,negative,negative
@user @user 😂 Nsogbu nọ n'obodo a,negative,negative,negative
"@user @user Patriotism kujie gi ukwu there, .",negative,positive,positive
@user @user @user Finally i bu onye iberibe 🌚 Akpaamu,negative,negative,negative
@user @user O rala ikpu nwere herpes😹,negative,negative,negative
@user @user @user @user @user @user @user @user @user @user @user I'tinyego onwe gi na gbaria🙆,negative,negative,negative
@user @user Ezigbo du oshi,negative,negative,negative
Chukwu kèrè eligwe n'uwa bịa bụrụ onye á. [URL],negative,positive,positive
"O ye, product of Baby factory. First of all. Nnagi bu Ekwensu. Nnegi bu onye Ara Gi nwa bu Onye Nzuzu. Idiot. [URL]",negative,negative,negative
@user @user @user Ike gị gwụrụ eziokwum 🤣🤣🤣,negative,negative,negative
@user @user @user Mad man ahu gbuo gi dia,negative,negative,negative
@user Nawa o. Nsogbu di o. 😓,negative,negative,negative
@user As in ehh!! Nsogbu dị kwa nnem.....,negative,negative,negative
@user @user @user @user @user @user @user Ezigbo onye ara 😭😭,negative,negative,negative
NEDU but ekwensu Na Edu gị,negative,negative,negative
@user @user 😂🤣😂🤣 Nsi gi chineke kpoo gi oku ugbua okwa isi na ma ahurogi n’ anya mancha,negative,negative,negative
"Onye battery ya foduru one bar, ò na-agba game😂😂",negative,positive,negative
@user @user Ike gwụrụ ndị google,negative,negative,negative
"Onye m, kuo this guy ja jaaa. Kupia ya onu like this. [URL]",negative,negative,negative
Isi adiye gi mma 🤣🤣🤣 [URL],negative,negative,negative
Eze omuo ji POS na fuwa kwa chai!! ara agba go ndi ara🤣🤣 Onye Obodo i give it to you🙌 o mpa [URL],negative,negative,negative
@user Nna ehn ike gwuru bikonu 🤦🏾‍♂️,negative,negative,negative
@user @user Nna ehn. Ike guru! 😁,negative,negative,negative
@user @user @user @user @user @user @user @user @user @user @user @user 😂😂😂 Iwe Ji gi,negative,negative,negative
@user I na-enye nsogbu. 😂 😂,negative,negative,negative
😂😂😂 Bia ike ndi'a agwula'm...😂 @user @user @user @user [URL],negative,negative,negative
NNA EHH EBE DICHA OKU!,negative,positive,positive
@user @user Onye anwuru Ihe 😂😂,negative,negative,negative
@user So so ndi ogbe amu,negative,negative,negative
@user @user @user He still gbajie gị aka... 🤡🤡,negative,negative,negative
@user @user Unu abụọ rie ya bụ nsị.,negative,negative,negative
@user You dey run around nah. O kwa since last year o. Ike gi agwugo m Biko,negative,negative,negative
Osinoo gbakwa oku 😹😹😹😭 [URL],negative,negative,negative
Lmao. Kanye and his dragon energy. Onye isi nkuka😂,negative,negative,negative
"@user Makachi, ndi mmadu n'awu m n'ala.... Mana nsogbu adiroo.... Udo, nwannaa✌",negative,negative,positive
Thunder gba gi dia ewu [URL],negative,negative,negative
Patriotism gbakwa oku. 🔥 [URL],negative,negative,negative
Chukwu ka ndi ojoo🙏 [URL],negative,positive,positive
@user @user Ndi nzuzu zuzugburu onwe ha,negative,negative,negative
@user Hian! Ikwe onu kwa? On top of hanging out? 🤦 Hapum aka biko😒,negative,negative,negative
@user @user @user Idiot ọ ji amụ eme ogo gerrat,negative,negative,negative
"@user @user @user @user @user @user Nsogbu di😡 Uwa mmebi😲 Bestman na emezi onwe ya advertise😏 o nwanyi ga nu gi, k’obu gi ga nu ya? Hustle O, make wife nor marry you Umu nwanyi ibem, k’anyi ghara iji desperation na oke ochicho dabanye n’aka onye iberibe m’obu n’aka onye nzuzu! Chukwu zobe umu Ya! Ike a gwugom!😢",negative,negative,negative
"@user @user @user @user @user aburo ezigbo mmadụ 😂😂😂, ụdị casting na di egwu",negative,negative,negative
@user Ndi googulu na eme ntapi iberibe... rapu fa!,negative,negative,negative
Asin ehn... Ndi mmadu sef☹️ [URL],negative,negative,negative
"@user Chief, soghachi godi m biko..hapụ nwa Otedola. Ọ dirọ any lonely biko. Ọ na achọ onye ọ ga araputa.",negative,negative,negative
@user @user @user @user Ị chọọ okwu gị a e bidoro taa ohh,negative,positive,negative
That i am gay. Me Onyedikachi Charles Na gay. Egwu dikwa o. [URL],negative,negative,negative
A typical case of “iberibe n’enye onye ara morale” [URL],negative,negative,negative
@user Akwa ututu agubago gi?,negative,positive,negative
E say na sarcastically. Ndị ara [URL],negative,negative,negative
@user Odi egwu.. Just like that?,negative,negative,negative
@user Nwata na-achọ nke ya ọ dị ka ọ gbara ajọ. Nnọọ ije.,negative,positive,negative
@user @user Ike gwuuu mmadu,negative,negative,negative
@user Hmmm nnemochie na -asi na ihe di danger!,negative,negative,positive
@user aligo gwaram ndinili obi ha tiwalu etiwa na ndi obi ha gweparaegwepa fa gide obi ha aka maka uwa ngbede kakwanunma#aligo,negative,negative,negative
